label,mission,object_id,period_days,dur_hr,depth_ppm,rprstar,a_over_rstar,radius_rearth,insol_earth,eq_temp_k,teff_k,logg_cgs,star_rad_rsun,ra_deg,dec_deg,t_mag
0,Kepler,K01449.01,10.980246199,3.74464,50078.0,0.223972,21.976,21.94,107.47,821.0,5952.0,4.462,0.897,282.79764,43.578129,
1,K2,TRAPPIST-1 b,1.51087081,0.6067,7266.0,0.08524083528450434,20.5,1.086,4.25,400.1,2559.0,,0.117,346.6263919,-5.0434618,13.8529
1,Kepler,Kepler-525 b,18.68405716,6.9329,381.5,0.020651,11.43,3.64,113.34,832.0,5548.0,4.038,1.614,296.18344,47.358761,
0,Kepler,K03427.01,39.206808648,6.24701,186980.0,0.53388,62.452,50.2,16.82,516.0,5945.0,4.545,0.861,297.81793,46.76421,
1,Kepler,Kepler-1485 b,19.9158863,6.191,143.2,0.011866,16.78,1.41,66.31,728.0,6047.0,4.387,1.092,298.09543,44.737061,
1,K2,HATS-9 b,1.9153196,3.5496,8470.0,0.08305,4.48,14.42,,,,,1.592,290.8101704,-20.1663771,12.5866
0,TESS,TOI-66961,3.6859958,5.1972226,12982.7214564,0.11394174588973087,,23.322957,2647.6896261,1829.5172894,6731.3,3.99257,1.99719,44.114507,48.008994,10.9988
1,Kepler,Kepler-786 b,53.5292702,5.668,1086.1,0.029542,70.0,2.28,3.48,348.0,4736.0,4.624,0.708,293.74393,38.939281,
0,Kepler,K04298.02,11.57958162,2.47,,,,,,,,,,291.54343,38.048759,
1,TESS,TOI-70671,15.3573522,3.5894467,21072.3970721,0.14516334617285453,,13.3280613,47.2404772,668.6491835,5462.0,4.49258,0.915391,295.287232,41.222003,14.5293
0,Kepler,K03842.01,0.61496383,1.93053,358050.0,0.618606,3.8819,44.79,1074.84,1460.0,4509.0,4.612,0.663,294.35965,46.125389,
1,Kepler,Kepler-1776 b,35.01190875,2.868,436.7,0.023595,40.5,2.97,31.35,603.0,5872.0,4.332,1.153,291.53439,47.0425,
0,TESS,TOI-5491,0.516278,0.565611,20289.210823,0.1424402008668901,,2.442348,50.4166361,679.6154071,3009.0,5.10976,0.169,86.752182,-24.842642,14.2321
1,K2,K2-199 b,3.225,1.82688,580.0,0.0241,,,,,4550.0,4.60155,0.701485,208.9014508,-6.1360833,11.2309
0,Kepler,K06030.01,3.840130917,2.8951,60401.0,0.302603,9.86,33.44,498.48,1205.0,5931.0,4.418,1.012,297.47104,42.087898,
